popularity,budget,revenue,original_title,runtime,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj,casts,directors,genres,production_companies
6.200282,245000000.0,880674609.0,Spectre,148.0,2015-10-26,3254,6.2,2015,225399900.824043,810220283.783075,"Daniel Craig,Christoph Waltz,LÃ©a Seydoux,Ralph Fiennes,Monica Bellucci",Sam Mendes,"Action,Adventure,Crime","Columbia Pictures,Danjaq,B24"
6.189369,176000003.0,183987723.0,Jupiter Ascending,124.0,2015-02-04,1937,5.2,2015,161919931.51523,169268630.681802,"Mila Kunis,Channing Tatum,Sean Bean,Eddie Redmayne,Douglas Booth","Lana Wachowski,Lilly Wachowski","Science Fiction,Fantasy,Action,Adventure","Village Roadshow Pictures,Dune Entertainment,Anarchos Productions,Warner Bros."
6.118847,15000000.0,36869414.0,Ex Machina,108.0,2015-01-21,2854,7.6,2015,13799993.9280026,33919845.9552677,"Domhnall Gleeson,Alicia Vikander,Oscar Isaac,Sonoya Mizuno,Corey Johnson",Alex Garland,"Drama,Science Fiction","DNA Films,Universal Pictures International (UPI),Film4"
5.984995,88000000.0,243637091.0,Pixels,105.0,2015-07-16,1575,5.8,2015,80959964.3776156,224146025.095748,"Adam Sandler,Michelle Monaghan,Peter Dinklage,Josh Gad,Kevin James",Chris Columbus,"Action,Comedy,Science Fiction","Columbia Pictures,Happy Madison Productions"
5.944927,280000000.0,1405035767.0,Avengers: Age of Ultron,141.0,2015-04-22,4304,7.4,2015,257599886.656049,1292632336.88177,"Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans,Scarlett Johansson",Joss Whedon,"Action,Adventure,Science Fiction","Marvel Studios,Prime Focus,Revolution Sun Studios"
5.8984,44000000.0,155760117.0,The Hateful Eight,167.0,2015-12-25,2389,7.4,2015,40479982.1888078,143299244.588332,"Samuel L. Jackson,Kurt Russell,Jennifer Jason Leigh,Walton Goggins,DemiÃ¡n Bichir",Quentin Tarantino,"Crime,Drama,Mystery,Western","Double Feature Films,The Weinstein Company,FilmColony"
5.749758,48000000.0,325771424.0,Taken 3,109.0,2015-01-01,1578,6.1,2015,44159980.5696085,299709578.207785,"Liam Neeson,Forest Whitaker,Maggie Grace,Famke Janssen,Dougray Scott",Olivier Megaton,"Crime,Action,Thriller","Twentieth Century Fox Film Corporation,M6 Films,Canal+,EuropaCorp,CinÃ©+"
5.573184,130000000.0,518602163.0,Ant-Man,115.0,2015-07-14,3779,7.0,2015,119599947.376023,477113780.029936,"Paul Rudd,Michael Douglas,Evangeline Lilly,Corey Stoll,Bobby Cannavale",Peyton Reed,"Science Fiction,Action,Adventure",Marvel Studios
5.556818,95000000.0,542351353.0,Cinderella,112.0,2015-03-12,1495,6.8,2015,87399961.5440169,498963025.216268,"Lily James,Cate Blanchett,Richard Madden,Helena Bonham Carter,Holliday Grainger",Kenneth Branagh,"Romance,Fantasy,Family,Drama","Walt Disney Pictures,Genre Films,Beagle Pug Films,Allison Shearmur Productions"
5.476958,160000000.0,650523427.0,The Hunger Games: Mockingjay - Part 2,136.0,2015-11-18,2380,6.5,2015,147199935.232028,598481289.508232,"Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Woody Harrelson,Elizabeth Banks",Francis Lawrence,"War,Adventure,Science Fiction","Studio Babelsberg,StudioCanal,Lionsgate,Walt Disney Studios Motion Pictures,Color Force"
5.462138,190000000.0,209035668.0,Tomorrowland,130.0,2015-05-19,1899,6.2,2015,174799923.088033,192312729.942398,"Britt Robertson,George Clooney,Raffey Cassidy,Thomas Robinson,Hugh Laurie",Brad Bird,"Action,Family,Science Fiction,Adventure,Mystery","Walt Disney Pictures,Babieka,A113"
5.337064,30000000.0,91709827.0,Southpaw,123.0,2015-06-15,1386,7.3,2015,27599987.8560053,84373003.7158783,"Jake Gyllenhaal,Rachel McAdams,Forest Whitaker,Oona Laurence,50 Cent",Antoine Fuqua,"Action,Drama","Escape Artists,Riche-Ludwig Productions"
4.907832,110000000.0,470490832.0,San Andreas,114.0,2015-05-27,2060,6.1,2015,101199955.472019,432851374.985395,"Dwayne Johnson,Alexandra Daddario,Carla Gugino,Ioan Gruffudd,Archie Panjabi",Brad Peyton,"Action,Drama,Thriller","New Line Cinema,Village Roadshow Pictures,Warner Bros.,Flynn Picture Company"
4.71040199999999,40000000.0,569651467.0,Fifty Shades of Grey,125.0,2015-02-11,1865,5.3,2015,36799983.8080071,524079119.045187,"Dakota Johnson,Jamie Dornan,Jennifer Ehle,Eloise Mumford,Victor Rasuk",Sam Taylor-Johnson,"Drama,Romance","Focus Features,Trigger Street Productions,Michael De Luca Productions"
4.648046,28000000.0,133346506.0,The Big Short,130.0,2015-12-11,1545,7.3,2015,25759988.6656049,122678731.541358,"Christian Bale,Steve Carell,Ryan Gosling,Brad Pitt,Melissa Leo",Adam McKay,"Comedy,Drama","Paramount Pictures,Plan B Entertainment,Regency Enterprises"
4.566713,150000000.0,682330139.0,Mission: Impossible - Rogue Nation,131.0,2015-07-23,2349,7.1,2015,137999939.280026,627743451.672881,"Tom Cruise,Jeremy Renner,Simon Pegg,Rebecca Ferguson,Ving Rhames",Christopher McQuarrie,Action,"Paramount Pictures,Skydance Productions,China Movie Channel,Bad Robot,TC Productions"
4.564549,68000000.0,215863606.0,Ted 2,115.0,2015-06-25,1666,6.3,2015,62559972.4736121,198594430.13845,"Mark Wahlberg,Seth MacFarlane,Amanda Seyfried,Jessica Barth,Giovanni Ribisi",Seth MacFarlane,Comedy,"Universal Pictures,Media Rights Capital,Fuzzy Door Productions"
4.503789,81000000.0,403802136.0,Kingsman: The Secret Service,130.0,2015-01-24,3833,7.6,2015,74519967.2112144,371497801.660967,"Taron Egerton,Colin Firth,Samuel L. Jackson,Michael Caine,Mark Strong",Matthew Vaughn,"Crime,Comedy,Action,Adventure","Twentieth Century Fox Film Corporation,Marv Films,TSG Entertainment,Cloudy Productions"
4.062293,20000000.0,88346473.0,Spotlight,128.0,2015-11-06,1559,7.8,2015,18399991.9040035,81278719.3973634,"Mark Ruffalo,Michael Keaton,Rachel McAdams,Liev Schreiber,John Slattery",Tom McCarthy,"Drama,Thriller,History","Participant Media,Open Road Films,Anonymous Content,Rocklin / Faust,Entertainment One Features"
3.968891,61000000.0,311256926.0,Maze Runner: The Scorch Trials,132.0,2015-09-09,1849,6.4,2015,56119975.3072108,286356245.923251,"Dylan O'Brien,Kaya Scodelario,Thomas Brodie-Sangster,Giancarlo Esposito,Aidan Gillen",Wes Ball,"Action,Science Fiction,Thriller","Gotham Group,Temple Hill Entertainment,TSG Entertainment"
3.899557,49000000.0,102069268.0,Chappie,120.0,2015-03-04,1990,6.6,2015,45079980.1648087,93903685.2423785,"Sharlto Copley,Dev Patel,Ninja,Yolandi Visser,Jose Pablo Cantillo",Neill Blomkamp,"Crime,Action,Science Fiction","Columbia Pictures,Media Rights Capital,Sony Pictures Entertainment (SPE),Alpha Core,Genre Films"
3.877764,29000000.0,287506194.0,Pitch Perfect 2,115.0,2015-05-07,1264,6.8,2015,26679988.2608051,264505582.097543,"Anna Kendrick,Rebel Wilson,Hailee Steinfeld,Brittany Snow,Skylar Astin",Elizabeth Banks,"Comedy,Music","Universal Pictures,Gold Circle Films,Brownstone Productions"
3.64821,40000000.0,162610473.0,Bridge of Spies,141.0,2015-10-15,1638,7.1,2015,36799983.8080071,149601569.335309,"Tom Hanks,Mark Rylance,Amy Ryan,Alan Alda,Sebastian Koch",Steven Spielberg,"Thriller,Drama","DreamWorks SKG,Amblin Entertainment,Studio Babelsberg,Fox 2000 Pictures,Marc Platt Productions"
3.644541,58000000.0,150170815.0,Goosebumps,103.0,2015-08-05,600,6.2,2015,53359976.5216103,138157089.01088,"Jack Black,Dylan Minnette,Odeya Rush,Amy Ryan,Jillian Bell",Rob Letterman,"Adventure,Horror,Comedy","Columbia Pictures,Original Film,Scholastic Entertainment"
3.557846,6000000.0,35401758.0,Room,117.0,2015-10-16,1520,8.0,2015,5519997.57120106,32569603.0293746,"Brie Larson,Jacob Tremblay,Joan Allen,Sean Bridgers,William H. Macy",Lenny Abrahamson,"Drama,Thriller","Element Pictures,No Trace Camping,A24,Duperele Films"
3.339135,175000000.0,331926147.0,The Good Dinosaur,93.0,2015-11-14,1087,6.6,2015,160999929.160031,305371920.876354,"Raymond Ochoa,Jack Bright,Jeffrey Wright,Frances McDormand,Maleah Nipay-Padilla",Peter Sohn,"Adventure,Animation,Comedy,Family,Fantasy","Walt Disney Pictures,Pixar Animation Studios,Buena Vista"
3.23737,50000000.0,71561644.0,Run All Night,114.0,2015-03-11,814,6.3,2015,45999979.7600089,65836683.5118592,"Liam Neeson,Ed Harris,Joel Kinnaman,Boyd Holbrook,Bruce McGill",Jaume Collet-Serra,"Action,Crime,Drama,Mystery,Thriller","Vertigo Entertainment,Energy Entertainment,RatPac-Dune Entertainment"
3.227329,11000000.0,62076141.0,Brooklyn,111.0,2015-11-04,754,7.3,2015,10119995.5472019,57110024.5915891,"Saoirse Ronan,Domhnall Gleeson,Emory Cohen,Emily Bett Rickards,Eileen O'Higgins",John Crowley,"Drama,Romance","Wildgaze Films,Irish Film Board,Item 7,Parallel Film Productions"
3.202719,28000000.0,201634991.0,Straight Outta Compton,147.0,2015-08-13,918,7.7,2015,25759988.6656049,185504110.098191,"O'Shea Jackson Jr.,Corey Hawkins,Jason Mitchell,Neil Brown Jr.,Aldis Hodge",F. Gary Gray,"Drama,Music","New Line Cinema,Universal Pictures,Legendary Pictures,Cube Vision,Broken Chair Flickz"
3.080505,90000000.0,140396650.0,The Last Witch Hunter,106.0,2015-10-21,879,5.6,2015,82799963.568016,129164861.167461,"Vin Diesel,Rose Leslie,Michael Caine,Elijah Wood,Ã“lafur Darri Ã“lafsson",Breck Eisner,"Fantasy,Action,Adventure","Summit Entertainment,Atmosphere Entertainment MM,One Race Films,Goldmann Pictures,NeoReel"
3.079522,30000000.0,34441873.0,Steve Jobs,122.0,2015-10-09,1035,6.9,2015,27599987.8560053,31686509.2179359,"Michael Fassbender,Kate Winslet,Seth Rogen,Katherine Waterston,Jeff Daniels",Danny Boyle,"History,Drama","Universal Pictures,Scott Rudin Productions,Legendary Pictures,The Mark Gordon Company,Management 360"
3.053421,75000000.0,108145109.0,The Man from U.N.C.L.E.,116.0,2015-08-13,1548,7.0,2015,68999969.6400133,99493456.5028791,"Henry Cavill,Armie Hammer,Alicia Vikander,Elizabeth Debicki,Luca Calvani",Guy Ritchie,"Comedy,Action,Adventure","Davis Entertainment,Warner Bros.,Wigram Productions,RatPac-Dune Entertainment"
3.025852,25000000.0,42629776.0,The Age of Adaline,112.0,2015-04-16,1221,7.3,2015,22999989.8800044,39219376.6634742,"Blake Lively,Michiel Huisman,Harrison Ford,Ellen Burstyn,Kathy Baker",Lee Toland Krieger,"Fantasy,Drama,Romance","Lakeshore Entertainment,Sidney Kimmel Entertainment,Sierra/Affinity"
3.023253,10000000.0,14333790.0,Hardcore Henry,97.0,2015-09-12,396,5.9,2015,9199995.95200178,13187080.9976843,"Sharlto Copley,Haley Bennett,Danila Kozlovskiy,Tim Roth,Andrei Dementiev",Ilya Naishuller,"Action,Adventure,Science Fiction","Bazelevs Production,Versus Pictures"
2.976436,135000000.0,368871007.0,Home,94.0,2015-03-18,1060,6.9,2015,124199945.352024,339361177.121082,"Jim Parsons,Rihanna,Steve Martin,Jennifer Lopez,Matt Jones",Tim Johnson,"Fantasy,Comedy,Animation,Science Fiction,Family","Twentieth Century Fox Film Corporation,DreamWorks Animation"
2.968254,12000000.0,85512300.0,Paper Towns,109.0,2015-07-09,1252,6.2,2015,11039995.1424021,78671281.3846362,"Nat Wolff,Cara Delevingne,Halston Sage,Justice Smith,Austin Abrams",Jake Schreier,"Drama,Mystery,Romance",Fox 2000 Pictures
2.885126,4000000.0,9064511.0,The Lobster,118.0,2015-10-08,638,6.6,2015,3679998.38080071,8339346.45068756,"Colin Farrell,Rachel Weisz,LÃ©a Seydoux,John C. Reilly,Ben Whishaw",Yorgos Lanthimos,"Thriller,Comedy,Drama,Romance,Science Fiction","Haut et Court,Eurimages,Lemming Film,Element Pictures,Nederlands Fonds voor de Film"
2.883233,11800000.0,40272135.0,Carol,118.0,2015-11-20,562,7.1,2015,10855995.2233621,37050347.8978469,"Cate Blanchett,Rooney Mara,Kyle Chandler,Sarah Paulson,Jake Lacy",Todd Haynes,"Romance,Drama","Killer Films,Film4,Number 9 Films"
2.814802,35000000.0,194564672.0,The Intern,121.0,2015-09-24,1255,7.1,2015,32199985.8320062,178999419.480255,"Robert De Niro,Anne Hathaway,Rene Russo,Anders Holm,JoJo Kushner",Nancy Meyers,Comedy,"Waverly Films,Warner Bros."
2.798017,55000000.0,203427584.0,Everest,121.0,2015-09-10,1172,6.7,2015,50599977.7360098,187153294.93255,"Jason Clarke,Jake Gyllenhaal,Josh Brolin,John Hawkes,Sam Worthington",Baltasar KormÃ¡kur,"Adventure,Drama","Universal Pictures,Working Title Films,Walden Media,Cross Creek Pictures,Free State Pictures"
2.793297,60000000.0,101134059.0,Joy,124.0,2015-12-24,1001,6.4,2015,55199975.7120106,93043293.3409509,"Jennifer Lawrence,Bradley Cooper,Robert De Niro,Dascha Polanco,Edgar RamÃ­rez",David O. Russell,"Comedy,Drama","Fox 2000 Pictures,Davis Entertainment,Annapurna Pictures,TSG Entertainment"
2.614499,105000000.0,133718711.0,Point Break,114.0,2015-12-03,505,5.5,2015,96599957.4960187,123021159.990689,"Edgar RamÃ­rez,Luke Bracey,Teresa Palmer,Delroy Lindo,Ray Winstone",Ericson Core,"Action,Crime,Thriller","Studio Babelsberg,Alcon Entertainment,DMG Entertainment,Ehman Productions"
2.584264,20000000.0,36606743.0,Burnt,100.0,2015-10-02,631,6.3,2015,18399991.9040035,33678188.7415969,"Bradley Cooper,Sienna Miller,Lily James,Alicia Vikander,Uma Thurman",John Wells,Drama,"Double Feature Films,PeaPie Films,3 Arts Entertainment"
2.578919,26000000.0,30523226.0,Self/less,116.0,2015-07-10,719,6.2,2015,23919989.4752046,28081355.5642035,"Ryan Reynolds,Ben Kingsley,Natalie Martinez,Matthew Goode,Michelle Dockery",Tarsem Singh,"Science Fiction,Mystery,Thriller","Endgame Entertainment,Ram Bergman Productions"
2.575711,60000000.0,30418560.0,Mortdecai,106.0,2015-01-21,696,5.3,2015,55199975.7120106,27985062.8865723,"Johnny Depp,Gwyneth Paltrow,Ewan McGregor,Paul Bettany,Olivia Munn",David Koepp,"Comedy,Adventure","Lionsgate,Mad Chance,OddLot Entertainment,Huayi Brothers Media"
2.557859,15000000.0,64191523.0,The Danish Girl,120.0,2015-11-27,867,7.3,2015,13799993.9280026,59056175.1752829,"Eddie Redmayne,Alicia Vikander,Matthias Schoenaerts,Amber Heard,Ben Whishaw",Tom Hooper,Drama,"Pretty Pictures,Working Title Films,ArtÃ©mis Productions,Le Tax Shelter du Gouvernement FÃ©dÃ©ral de Belgique,Taxshelter. be"
2.550747,70000000.0,17752940.0,Blackhat,133.0,2015-01-13,584,5.0,2015,64399971.6640124,16332697.613613,"Chris Hemsworth,Leehom Wang,Tang Wei,Viola Davis,Holt McCallany",Michael Mann,"Mystery,Crime,Action,Thriller,Drama","Universal Pictures,Forward Pass,Legendary Pictures"
2.487849,30000000.0,84025816.0,Sicario,121.0,2015-09-17,1479,7.1,2015,27599987.8560053,77303716.7063646,"Emily Blunt,Benicio del Toro,Josh Brolin,Victor Garber,Jon Bernthal",Denis Villeneuve,"Action,Crime,Drama,Mystery,Thriller","Lionsgate,Thunder Road Pictures,Black Label Media"
2.487042,120000001.0,167977596.0,Fantastic Four,100.0,2015-08-05,1565,4.4,2015,110399952.34402,154539320.322699,"Miles Teller,Kate Mara,Michael B. Jordan,Jamie Bell,Toby Kebbell",Josh Trank,"Action,Adventure,Science Fiction","Twentieth Century Fox Film Corporation,Marv Films,Marvel Entertainment,Constantin Film.,Moving Picture Company (MPC)"
2.46449,3500000.0,40423945.0,The Witch,92.0,2015-03-24,700,5.8,2015,3219998.58320062,37190013.0363942,"Anya Taylor-Joy,Ralph Ineson,Kate Dickie,Harvey Scrimshaw,Ellie Grainger",Robert Eggers,"Mystery,Horror","Parts and Labor,RT Features,Rooks Nest Entertainment,Maiden Voyage Pictures,Pulse Films"
2.404473,65000000.0,235666219.0,Spy,120.0,2015-05-06,1840,6.9,2015,59799973.6880115,216812826.082356,"Melissa McCarthy,Jason Statham,Rose Byrne,Miranda Hart,Bobby Cannavale",Paul Feig,"Action,Comedy,Crime","Twentieth Century Fox Film Corporation,Chernin Entertainment,Feigco Entertainment"
2.395366,50100000.0,153962963.0,Focus,105.0,2015-02-25,1831,6.7,2015,46091979.7195289,141645863.63582,"Will Smith,Margot Robbie,Rodrigo Santoro,Robert Taylor,Gerald McRaney","Glenn Ficarra,John Requa","Romance,Comedy,Crime,Drama","Kramer & Sigman Films,RatPac-Dune Entertainment,Zaftig Films"
2.354654,35000000.0,82347656.0,Hitman: Agent 47,96.0,2015-08-20,820,5.5,2015,32199985.8320062,75759810.1856835,"Rupert Friend,Zachary Quinto,Hannah Ware,Emilio Rivera,Rolf Kanies",Aleksander Bach,"Action,Crime,Thriller","Twentieth Century Fox Film Corporation,Fox International Productions,Infinite Frameworks Studios,TSG Entertainment"
2.345821,100000000.0,93820758.0,In the Heart of the Sea,122.0,2015-11-20,805,6.4,2015,91999959.5200178,86315059.3813738,"Chris Hemsworth,Benjamin Walker,Cillian Murphy,Brendan Gleeson,Ben Whishaw",Ron Howard,"Thriller,Drama,Adventure,Action,History","Imagine Entertainment,Spring Creek Productions,Warner Bros.,Roth Films,K. JAM Media"
2.331567,35000000.0,137935567.0,Creed,133.0,2015-11-25,1171,7.3,2015,32199985.8320062,126900665.803707,"Michael B. Jordan,Sylvester Stallone,Graham McTavish,Tessa Thompson,Phylicia RashÄd",Ryan Coogler,Drama,"New Line Cinema,Warner Bros.,Metro-Goldwyn-Mayer (MGM),Chartoff-Winkler Productions"
2.31767,35000000.0,140795793.0,Trainwreck,125.0,2015-07-17,849,6.1,2015,32199985.8320062,129532072.565888,"Amy Schumer,Bill Hader,Brie Larson,Colin Quinn,Vanessa Bayer",Judd Apatow,Comedy,"Universal Pictures,Fuji Television Network,Dentsu,Apatow Productions"
2.29573,13000000.0,32848185.0,Eye in the Sky,102.0,2015-09-11,265,7.2,2015,11959994.7376023,30220316.9030605,"Helen Mirren,Aaron Paul,Alan Rickman,Iain Glen,Barkhad Abdi",Gavin Hood,"Drama,Thriller,War","Entertainment One,Moonlighting Films,Raindog Films"
2.28135,25000000.0,42972994.0,Legend,131.0,2015-09-09,619,6.7,2015,22999989.8800044,39535137.0845396,"Tom Hardy,Emily Browning,Christopher Eccleston,David Thewlis,Taron Egerton",Brian Helgeland,"Crime,Thriller","Working Title Films,Cross Creek Pictures,Anton Capital Entertainment (ACE)"
2.234573,150000000.0,128388320.0,Pan,111.0,2015-09-24,586,5.9,2015,137999939.280026,118117202.42843,"Levi Miller,Garrett Hedlund,Hugh Jackman,Rooney Mara,Amanda Seyfried",Joe Wright,"Adventure,Family,Fantasy","Warner Bros.,Moving Picture Company (MPC),Berlanti Productions,RatPac-Dune Entertainment"
2.140199,99000000.0,246233113.0,The Peanuts Movie,88.0,2015-11-05,414,6.4,2015,91079959.9248176,226534364.284879,"Noah Schnapp,Bill Melendez,Venus Schultheis,Hadley Belle Miller,Madisyn Shipman",Steve Martino,"Adventure,Animation,Comedy,Family","Blue Sky Studios,Twentieth Century Fox Animation,Feigco Entertainment"
2.121884,35000000.0,48623572.0,Concussion,123.0,2015-11-12,500,6.9,2015,32199985.8320062,44733666.5571867,"Will Smith,Bitsie Tulloch,Gugu Mbatha-Raw,Alec Baldwin,Matthew Willig",Peter Landesman,Drama,"Village Roadshow Pictures,Scott Free Productions,LStar Capital,The Cantillon Company,The Shuman Company"
2.096273,25000000.0,52395996.0,The Night Before,100.0,2015-11-20,363,6.1,2015,22999989.8800044,48204295.1101101,"Joseph Gordon-Levitt,Seth Rogen,Anthony Mackie,Lizzy Caplan,Jillian Bell",Jonathan Levine,Comedy,"Sony Pictures,Point Grey Pictures,Good Universe"
2.080935,2500000.0,5214043.0,Knock Knock,99.0,2015-06-26,473,4.8,2015,2299998.98800044,4796917.44935632,"Keanu Reeves,Lorenza Izzo,Ana de Armas,Aaron Burns,Colleen Camp",Eli Roth,"Drama,Horror,Thriller","Universum Film (UFA),Dragonfly Entertainment,Black Bear Pictures,Square One Entertainment,Sobras International Pictures"
2.070708,34000000.0,63013281.0,The Longest Ride,128.0,2015-04-09,711,7.3,2015,31279986.236806,57972193.012235,"Scott Eastwood,Britt Robertson,Lolita Davidovich,Melissa Benoist,Jack Huston","George Tillman, Jr.","Romance,Drama","Fox 2000 Pictures,Temple Hill Entertainment"
2.060162,80000000.0,466183544.0,Hotel Transylvania 2,89.0,2015-09-21,919,6.8,2015,73599967.6160142,428888671.768984,"Adam Sandler,Andy Samberg,Selena Gomez,Kevin James,Steve Buscemi",Genndy Tartakovsky,"Animation,Comedy,Family","Columbia Pictures,Sony Pictures Animation"
2.055572,17000000.0,24000000.0,Love the Coopers,107.0,2015-11-12,111,5.3,2015,15639993.118403,22079990.2848042,"Steve Martin,Diane Keaton,John Goodman,Alan Arkin,Olivia Wilde",Jessie Nelson,"Family,Comedy","Imagine Entertainment,Groundswell Productions,CBS Films"
2.049886,35000000.0,61181942.0,The Walk,123.0,2015-09-30,706,6.8,2015,32199985.8320062,56287361.8735607,"Joseph Gordon-Levitt,Ben Kingsley,Charlotte Le Bon,Ben Schwartz,James Badge Dale",Robert Zemeckis,"Adventure,Drama,Thriller","TriStar Pictures,Sony Pictures Entertainment,ImageMovers"
2.026651,11000000.0,1863315.0,Tracers,94.0,2015-01-15,326,5.9,2015,10119995.5472019,1714249.04573042,"Marie Avgeropoulos,Taylor Lautner,Adam Rayner,Rafi Gavron,Sam Medina",Daniel Benmayor,"Action,Crime,Drama","Temple Hill Entertainment,Senator Film,Freerunning,Melbarken,Saban Films"
2.000338,31000000.0,104384188.0,Vacation,99.0,2015-07-28,846,6.1,2015,28519987.4512055,96033410.7052992,"Ed Helms,Christina Applegate,Skyler Gisondo,Steele Stebbins,Chris Hemsworth","John Francis Daley,Jonathan M. Goldstein","Adventure,Comedy","New Line Cinema,BenderSpink,David Dobkin Productions"
1.984529,35000000.0,95437994.0,Poltergeist,93.0,2015-05-20,589,5.0,2015,32199985.8320062,87802915.846717,"Sam Rockwell,Rosemarie DeWitt,Saxon Sharbino,Kyle Catlett,Kennedi Clements",Gil Kenan,"Horror,Thriller","Ghost House Pictures,Vertigo Entertainment,Metro-Goldwyn-Mayer (MGM),TSG Entertainment"
1.980039,4000000.0,187112.0,Maggie,95.0,2015-05-08,384,5.1,2015,3679998.38080071,172142.964257095,"Arnold Schwarzenegger,Abigail Breslin,Joely Richardson,Laura Cayouette,J.D. Evermore",Henry Hobson,Horror,"Lionsgate,Grindstone Entertainment Group,Silver Reel,Sly Predator,Matt Baer Films"
1.95632,50000000.0,3324330.0,Child 44,137.0,2015-03-15,341,5.9,2015,45999979.7600089,3058382.2543118,"Tom Hardy,Gary Oldman,Noomi Rapace,Joel Kinnaman,Paddy Considine",Daniel Espinosa,"Crime,Thriller","Summit Entertainment,Scott Free Productions,Worldview Entertainment"
1.926739,5000000.0,58978653.0,The Gift,108.0,2015-07-30,631,6.6,2015,4599997.97600089,54260336.8854517,"Jason Bateman,Rebecca Hall,Joel Edgerton,David Denman,Beau Knapp",Joel Edgerton,"Thriller,Mystery","Blumhouse Productions,Blue-Tongue Films,STX Entertainment,Ahimsa Films"
1.904898,50000000.0,240360392.0,Daddy's Home,96.0,2015-12-25,568,5.7,2015,45999979.7600089,221131463.342156,"Will Ferrell,Mark Wahlberg,Linda Cardellini,Thomas Haden Church,Hannibal Buress",Sean Anders,Comedy,"Paramount Pictures,Gary Sanchez Productions,Good Universe,Red Granite Pictures"
1.865007,64000000.0,97571250.0,The Little Prince,92.0,2015-07-29,423,7.5,2015,58879974.0928114,89765510.5031753,"Jeff Bridges,Rachel McAdams,Paul Rudd,Marion Cotillard,James Franco",Mark Osborne,"Adventure,Animation,Fantasy","Onyx Films,Orange Studios,CityMation,On Entertainment,Zippcast Films"
